left_id,left_title,right_id,right_title,pair_id
1016458896-0,Nike Court Vision Low,1118228839-7,Nike React Miler,0
1016458896-0,Nike Court Vision Low,1118228839-7,Nike React Miler,1
1016458896-0,Nike Court Vision Low,1118228839-7,Nike React Miler,2
1016458896-0,Nike Court Vision Low,1118228839-7,Nike React Miler,3
1016458896-0,Nike Court Vision Low,1118228839-7,Nike React Miler,4
1016458896-0,Nike Court Vision Low,1118228839-7,Nike React Miler,5
1016458896-0,Nike Court Vision Low,1118228839-7,Nike React Miler,6
1016458896-0,Nike Court Vision Low,1118228839-7,Nike React Miler,7
1057989135-2,Puma SUEDE CLASSIC,1118228839-7,Nike React Miler,8
1057989135-2,Puma SUEDE CLASSIC,1118228839-7,Nike React Miler,9
1057989135-2,Puma SUEDE CLASSIC,1118228839-7,Nike React Miler,10
1057989135-2,Puma SUEDE CLASSIC,1118228839-7,Nike React Miler,11
1057989135-2,Puma SUEDE CLASSIC,1145937378-8,Converse Chuck Taylor 1970s Hi,12
1057989135-2,Puma SUEDE CLASSIC,1145937378-8,Converse Chuck Taylor 1970s Hi,13
1069509543-0,HUGO Atom Run Coated Sock Trainers,1145937378-8,Converse Chuck Taylor 1970s Hi,14
1069509543-0,HUGO Atom Run Coated Sock Trainers,1145937378-8,Converse Chuck Taylor 1970s Hi,15
1069509543-0,HUGO Atom Run Coated Sock Trainers,1145937378-8,Converse Chuck Taylor 1970s Hi,16
10985175-0,Asics - QUANTUM 180 6,11635808-1,Brooks Cascadia 15 Mens ,17
10985175-0,Asics - QUANTUM 180 6,11635808-1,Brooks Cascadia 15 Mens ,18
10985175-0,Asics - QUANTUM 180 6,11635808-1,Brooks Cascadia 15 Mens ,19
10985175-0,Asics - QUANTUM 180 6,11635808-1,Brooks Cascadia 15 Mens ,20
10985175-0,Asics - QUANTUM 180 6,11635808-1,Brooks Cascadia 15 Mens ,21
10985175-0,Asics - QUANTUM 180 6,11635808-1,Brooks Cascadia 15 Mens ,22
10985175-0,Asics - QUANTUM 180 6,11647416-0,Gabor - 3342010,23
110251526-0,Yeezy 500,11647416-0,Gabor - 3342010,24
110251526-0,Yeezy 500,11647416-0,Gabor - 3342010,25
110251526-0,Yeezy 500,11647416-0,Gabor - 3342010,26
110251526-0,Yeezy 500,11647416-0,Gabor - 3342010,27
110251526-0,Yeezy 500,11647416-0,Gabor - 3342010,28
110251526-0,Yeezy 500,11647416-0,Gabor - 3342010,29
1118228839-7,Nike React Miler,1166563480-1,Unisa DALTON,30
1118228839-7,Nike React Miler,1166563480-1,Unisa DALTON,31
1118228839-7,Nike React Miler,1166563480-1,Unisa DALTON,32
1118228839-7,Nike React Miler,1166563480-1,Unisa DALTON,33
1118228839-7,Nike React Miler,1166563480-1,Unisa DALTON,34
1118228839-7,Nike React Miler,1166563480-1,Unisa DALTON,35
1118228839-7,Nike React Miler,1166563480-1,Unisa DALTON,36
1118228839-7,Nike React Miler,1204170957-0,HUGO ATOM RUNN KNSK,37
1118228839-7,Nike React Miler,1204170957-0,HUGO ATOM RUNN KNSK,38
1118228839-7,Nike React Miler,1204170957-0,HUGO ATOM RUNN KNSK,39
1118228839-7,Nike React Miler,1204170957-0,HUGO ATOM RUNN KNSK,40
1118228839-7,Nike React Miler,1204170957-0,HUGO ATOM RUNN KNSK,41
1240800108-1,Nike Venture Runner,1204170957-0,HUGO ATOM RUNN KNSK,42
1240800108-1,Nike Venture Runner,1204170957-0,HUGO ATOM RUNN KNSK,43
1240800108-1,Nike Venture Runner,13432720-0, Brooks Ricochet 3 Womens Road Running Shoes,44
1240800108-1,Nike Venture Runner,13432720-0, Brooks Ricochet 3 Womens Road Running Shoes,45
1240800108-1,Nike Venture Runner,13432720-0, Brooks Ricochet 3 Womens Road Running Shoes,46
1240800108-1,Nike Venture Runner,13432720-0, Brooks Ricochet 3 Womens Road Running Shoes,47
1240800108-1,Nike Venture Runner,13432720-0, Brooks Ricochet 3 Womens Road Running Shoes,48
1240800108-1,Nike Venture Runner,13432720-0, Brooks Ricochet 3 Womens Road Running Shoes,49
1242945-0,Brooks Divide 2,13432720-1, Brooks Ricochet 3 Womens Road Running Shoes,50
1242945-0,Brooks Divide 2,13432720-1, Brooks Ricochet 3 Womens Road Running Shoes,51
1242945-0,Brooks Divide 2,13432720-1, Brooks Ricochet 3 Womens Road Running Shoes,52
